Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs
0.49,13.8,1.6,3.74,12.31,0.0,15.93,0.0,1.25953879179605e-11,5.936290850549734e-12,2.920669662135768e-12,0.10070596681814532
0.99,21.6,0.8,7.46,14.55,0.0,5.52,0.0,1.527290894468625e-11,5.2868191065614755e-12,1.1313265884952778e-12,0.0321699616224631
1.48,28.9,0.7,10.87,12.95,0.0,1.26,0.0,1.8288724802485483e-11,4.423404249481217e-12,8.859589869716151e-13,0.021038487012614272
1.97,34.3,0.5,13.32,11.54,0.0,0.29,0.0,1.935403262358146e-11,4.014095031170167e-12,5.642575108915877e-13,0.01266164670271871
2.47,38.2,0.4,14.77,10.18,0.0,0.08,0.0,1.9146051704784854e-11,3.5421468348552887e-12,4.0096443360805976e-13,0.009095172395879618
2.96,42.0,0.2,16.2,9.16,0.0,0.02,0.0,1.9313292795575e-11,3.332668521125228e-12,1.8393612186261905e-13,0.004136137922888112
3.46,44.6,0.2,17.6,8.37,0.0,0.01,0.0,1.8631296336467314e-11,3.2294314109177965e-12,1.670968281297517e-13,0.0038950177749170565
3.95,46.3,0.2,17.91,7.77,0.0,0.0,0.0,1.7587914319228546e-11,2.8794081958414746e-12,1.519474239242207e-13,0.0037520041633110303
4.44,47.4,0.3,17.48,7.29,0.0,0.0,0.0,1.639921909349436e-11,2.4241791839885555e-12,2.0758505181638434e-13,0.005497398505104454
4.94,48.2,0.6,16.93,6.89,0.0,0.0,0.0,1.524110946884144e-11,2.036055342454341e-12,3.7944670876783664e-13,0.010812310752778054
5.43,47.4,0.7,16.28,6.55,0.0,0.0,0.0,1.340930622009484e-11,1.7098521629981817e-12,3.9605545797748475e-13,0.012827263178577058
5.92,45.5,1.3,15.64,6.26,0.0,0.0,0.0,1.1333147508514497e-11,1.4463258565154254e-12,6.476084290579713e-13,0.024816827537328674
