Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs,err_log_g_bar
0.6,16.0,3.53,6.82,12.59,0.0,30.32,0.0,1.382732497049784e-11,6.793021775530734e-12,6.1013071432321726e-12,0.19163244013980985,0.1
0.73,16.6,4.83,8.12,14.22,0.0,27.69,0.0,1.2233275906047896e-11,7.415551171287457e-12,7.1188822441218475e-12,0.2527279936858682,0.1
0.85,18.6,2.5,9.3,15.27,0.0,27.15,0.0,1.3190352978290715e-11,7.742658275749236e-12,3.5457938113684716e-12,0.11674582846861607,0.1
0.98,20.0,7.58,10.41,17.04,0.0,25.71,0.0,1.3227670571267066e-11,8.384653307267839e-12,1.0026574293020436e-11,0.3291952172826648,0.1
1.07,21.4,4.03,11.27,18.03,0.0,24.23,0.0,1.3870535361030644e-11,8.769892523538917e-12,5.224136215416216e-12,0.16357072542711262,0.1
1.54,28.9,2.74,15.22,22.44,0.0,17.21,0.0,1.7576177082908124e-11,1.0173210236395969e-11,3.3327837513611253e-12,0.08235064916366158,0.1
2.02,32.9,2.65,18.74,24.92,0.0,11.77,0.0,1.7365603521020148e-11,1.0615811094046285e-11,2.7974984395564373e-12,0.06996233295097978,0.1
2.49,35.2,2.88,21.52,25.85,0.0,7.54,0.0,1.6126325989689047e-11,1.0375981577622823e-11,2.6388533437672984e-12,0.07106636976598665,0.1
2.96,37.6,3.05,23.28,26.01,0.0,5.12,0.0,1.5478662597886684e-11,9.637140957436052e-12,2.511166006572042e-12,0.0704573494577084,0.1
3.43,40.6,3.68,24.59,25.36,0.0,3.64,0.0,1.5574259330609842e-11,8.751359766763822e-12,2.8233140067312423e-12,0.07872924598049096,0.1
3.9,42.7,3.25,25.62,25.01,0.0,2.55,0.0,1.51509755681845e-11,8.053207319864598e-12,2.306354594688507e-12,0.06611040122649031,0.1
4.37,45.5,2.99,26.35,24.48,0.0,1.74,0.0,1.535291378727822e-11,7.371161394180099e-12,2.0178115263279948e-12,0.057078703335855956,0.1
4.86,48.9,1.96,27.08,23.7,0.0,1.09,0.0,1.5945234250918275e-11,6.762768867469498e-12,1.2782273673537759e-12,0.034814608774248405,0.1
5.34,51.5,1.53,27.81,22.69,0.0,0.64,0.0,1.6096173917223884e-11,6.25588230171941e-12,9.563940230428172e-13,0.025804681837358262,0.1
5.81,53.0,1.86,28.4,21.59,0.0,0.46,0.0,1.5668414845953274e-11,5.798953684311166e-12,1.0997453439046448e-12,0.030482556088303706,0.1
6.28,55.0,1.48,28.98,20.86,0.0,0.36,0.0,1.5610441643519592e-11,5.4567405687148365e-12,8.401255866330544e-13,0.023372939389702276,0.1
6.75,57.6,0.99,29.57,20.11,0.0,0.24,0.0,1.592907836601351e-11,5.168879488176038e-12,5.475620688317144e-13,0.014928872815424281,0.1
7.22,59.7,1.19,30.3,19.38,0.0,0.16,0.0,1.5997824182209242e-11,4.963878297639723e-12,6.377692052539028e-13,0.01731358236063215,0.1
7.69,60.5,1.26,31.18,18.7,0.0,0.11,0.0,1.5425308707513222e-11,4.833933746072898e-12,6.425087263294763e-13,0.018089621394978418,0.1
8.16,61.8,1.33,32.06,18.06,0.0,0.07,0.0,1.5168276832583916e-11,4.729811730646865e-12,6.528740513701168e-13,0.018692934010722487,0.1
8.64,62.9,1.35,32.64,17.47,0.0,0.05,0.0,1.4840106007630034e-11,4.5684862428611925e-12,6.370156791828472e-13,0.018642211464845463,0.1
9.11,63.0,2.09,33.23,16.94,0.0,0.03,0.0,1.4119267839575139e-11,4.4386036877488386e-12,9.368022153876838e-13,0.028815094196120515,0.1
9.58,64.5,2.38,33.38,16.44,0.0,0.02,0.0,1.4073540752670023e-11,4.226413259540827e-12,1.0386054881040203e-12,0.03205025943968184,0.1
10.05,65.6,1.08,33.38,15.98,0.0,0.02,0.0,1.387685568681007e-11,4.0047151321259634e-12,4.569208579803315e-13,0.014299940257789997,0.1
10.52,67.5,3.22,32.79,15.57,0.0,0.01,0.0,1.4035932167188416e-11,3.685605667129381e-12,1.3391318986176799e-12,0.04143491056973246,0.1
10.99,66.8,2.37,32.06,15.18,0.0,0.01,0.0,1.3158448570366727e-11,3.3707047561658896e-12,9.336982967595553e-13,0.03081670425481158,0.1
11.46,66.8,0.95,31.18,14.81,0.0,0.0,0.0,1.2618791430046277e-11,3.059398726864985e-12,3.589177203156875e-13,0.012352687359523629,0.1
11.94,66.6,0.96,30.3,14.47,0.0,0.0,0.0,1.2039087929126373e-11,2.776051675491131e-12,3.4707280516400355e-13,0.012520201280093745,0.1
12.41,66.8,0.99,29.42,14.16,0.0,0.0,0.0,1.1652808202121704e-11,2.522086734752178e-12,3.453976083862421e-13,0.01287280051150357,0.1
12.9,66.3,0.74,28.69,13.86,0.0,0.0,0.0,1.1042993114020284e-11,2.309157994385923e-12,2.4651025352564135e-13,0.009694658117900644,0.1
13.37,66.1,1.31,27.81,13.59,0.0,0.0,0.0,1.0590609784209434e-11,2.0984837311946424e-12,4.1977908675686413e-13,0.017214092928691676,0.1
