Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs
1.07,22.1,7.17,1.98,18.3,0.0,33.42,0.0,1.479279451410817e-11,5.190256442390517e-12,9.598582503724486e-12,0.28180012988654435
1.78,42.7,10.66,4.03,24.51,0.0,20.43,0.0,3.3195957705572776e-11,5.7644169086218974e-12,1.6574656165873808e-11,0.21684211602288825
2.49,60.6,7.69,6.25,27.45,0.0,14.31,0.0,4.7796418607546536e-11,5.411889917593511e-12,1.2130510201057192e-11,0.11022193286587481
2.97,76.8,11.1,7.78,28.28,0.0,9.63,0.0,6.435991258995357e-11,5.023836414210054e-12,1.8604037233033454e-11,0.12553824867515873
3.04,81.6,17.5,8.01,28.2,0.0,9.31,0.0,7.098330048999646e-11,4.922787449328476e-12,3.044626859252299e-11,0.18627827042418887
3.19,87.0,8.93,8.49,28.16,0.0,9.15,0.0,7.68948540617884e-11,4.760317712089969e-12,1.5785541305098172e-11,0.08915516605508135
6.95,90.0,24.8,17.83,29.57,0.0,3.35,0.0,3.7770233451337396e-11,3.521031391224694e-12,2.081559532429261e-11,0.23934451447112545
8.58,97.8,9.4,22.83,29.09,0.0,1.88,0.0,3.6127663617465186e-11,3.566832470156573e-12,6.9447860532550665e-12,0.0834840108362079
9.26,93.7,25.3,24.91,28.73,0.0,1.68,0.0,3.072682238042408e-11,3.616004660611001e-12,1.659313994076263e-11,0.2345282901206461
9.89,103.0,23.8,26.69,28.7,0.0,1.49,0.0,3.476382961293247e-11,3.68380954765494e-12,1.606561446189889e-11,0.2007030809572309
10.08,97.4,11.0,27.31,28.73,0.0,1.43,0.0,3.050049140558038e-11,3.724782443033678e-12,6.88922803822144e-12,0.09809526285289055
11.84,106.5,9.48,30.86,27.77,0.0,0.72,0.0,3.104537913982576e-11,3.662097157380544e-12,5.526952004611234e-12,0.07731665142615637
14.56,112.0,11.0,30.44,25.73,0.0,0.36,0.0,2.7920560036582175e-11,2.7992009648943007e-12,5.484395721471498e-12,0.08530784465956731
15.43,111.5,9.4,30.7,25.11,0.0,0.28,0.0,2.611158673208721e-11,2.6416573887683324e-12,4.4026711261277094e-12,0.07322633416844065
17.93,111.0,24.3,33.36,23.48,0.0,0.14,0.0,2.2269738779477118e-11,2.5097419024106245e-12,9.750534276419711e-12,0.19015055694142374
19.02,112.5,7.75,34.35,22.95,0.0,0.1,0.0,2.156472812227219e-11,2.4591649204750416e-12,2.971140319068613e-12,0.059836128617781356
20.1,106.0,10.7,35.34,22.07,0.0,0.0,0.0,1.8116117463679303e-11,2.406331910236184e-12,3.657404846440916e-12,0.08767831993141122
