Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs
0.39,17.4,30.4,-1.11,12.25,0.0,99.83,0.0,2.515841891867744e-11,6.132480947094445e-12,8.790987760089588e-11,1.5175347413630866
1.18,46.3,37.1,-2.76,28.99,0.0,60.79,0.0,5.887479793301082e-11,1.1331534467407074e-11,9.435226796175817e-11,0.6959967722941962
1.95,69.1,13.1,-2.63,34.78,0.0,34.2,0.0,7.935438646921007e-11,9.936849205929018e-12,3.0088059703231605e-11,0.16466737229906217
2.74,85.2,6.2,-0.03,37.08,0.0,27.14,0.0,8.585746896713272e-11,8.131071476162644e-12,1.249568797174232e-11,0.06320717811737467
3.53,93.2,6.2,3.84,41.2,0.0,22.68,0.0,7.97455713870422e-11,7.927199529952573e-12,1.0609925806859691e-11,0.057781669266097874
4.3,100.0,12.4,7.34,44.37,0.0,16.78,0.0,7.536696023163793e-11,7.824779068788005e-12,1.8691006137446206e-11,0.10770503151200644
5.09,108.0,6.2,9.92,45.35,0.0,11.52,0.0,7.426414467209915e-11,7.173758793227673e-12,8.526624017907681e-12,0.04986344051481781
5.87,112.0,6.2,12.15,44.94,0.0,9.36,0.0,6.925440445189719e-11,6.390045487456471e-12,7.667451921460045e-12,0.0480826033535743
6.4,113.0,24.9,13.65,45.12,0.0,8.08,0.0,6.465861055235116e-11,6.0978791751800966e-12,2.8495564650505203e-11,0.1913970371573623
7.44,113.0,15.5,17.06,45.76,0.0,6.21,0.0,5.5620310152560134e-11,5.828316789268885e-12,1.525866915689703e-11,0.11914273397345847
8.21,112.0,13.1,19.87,46.01,0.0,4.32,0.0,4.9515633877300416e-11,5.736601512955981e-12,1.158312149629706e-11,0.10159388773093925
9.0,111.0,26.4,22.99,44.52,0.0,3.01,0.0,4.43662684795583e-11,5.471714829099566e-12,2.1103954736222328e-11,0.20658332112154681
9.72,111.0,19.4,26.1,43.69,0.0,2.45,0.0,4.107987822181324e-11,5.453371504861589e-12,1.4359452927985168e-11,0.15180744052113665
11.79,113.0,12.5,34.23,40.77,0.0,1.17,0.0,3.50988216738802e-11,5.505172389850139e-12,7.765226034044292e-12,0.09608284997859554
17.63,118.0,14.6,36.03,33.12,0.0,0.0,0.0,2.5595354982081137e-11,3.39450601403232e-12,6.3337658091251625e-12,0.1074694819624996
