Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs,err_log_g_bar
0.47,15.3,4.4,0.25,12.99,0.0,104.59,0.0,1.6141149446528454e-11,5.8218565837989064e-12,9.283798374473881e-12,0.24979029024500754,0.1
1.41,41.0,4.36,0.88,32.88,0.0,69.17,0.0,3.863652472640769e-11,1.2441871138214502e-11,8.217329161323782e-12,0.09236702151698428,0.1
2.35,60.7,4.4,1.88,41.13,0.0,36.87,0.0,5.0811144196026837e-11,1.1713318900998587e-11,7.366360278830909e-12,0.06296196772238247,0.1
3.29,74.9,4.4,3.41,42.43,0.0,24.85,0.0,5.5260803113893364e-11,8.981396727746905e-12,6.4925910200568976e-12,0.05102525288048886,0.1
4.22,83.0,6.28,5.43,44.37,0.0,21.2,0.0,5.2904569972837464e-11,7.785805981400959e-12,8.005799986251066e-12,0.06571974328560051,0.1
5.17,86.8,4.4,7.8,46.69,0.0,16.81,0.0,4.7227870324161464e-11,7.213824570508022e-12,4.788079019039411e-12,0.04402985530816378,0.1
6.11,89.4,4.4,10.44,48.85,0.0,13.72,0.0,4.239193906040614e-11,6.906704533881395e-12,4.172808319145124e-12,0.04274934497481673,0.1
7.05,92.5,4.4,13.15,49.34,0.0,10.54,0.0,3.9331798297480766e-11,6.390266516850186e-12,3.74183594613871e-12,0.04131666422430936,0.1
7.99,94.7,4.4,16.07,50.15,0.0,8.66,0.0,3.637496913955099e-11,6.14797389180245e-12,3.3801449675612324e-12,0.04035682619586711,0.1
8.92,96.3,4.4,18.98,49.17,0.0,6.85,0.0,3.369280548600129e-11,5.7007373162227246e-12,3.078885651887968e-12,0.03968630779593578,0.1
9.87,97.8,4.4,21.99,49.76,0.0,6.33,0.0,3.14058109258208e-11,5.652775737533697e-12,2.825880737701667e-12,0.03907762209354412,0.1
10.79,98.8,4.62,25.0,50.33,0.0,5.29,0.0,2.931851028006613e-11,5.68128868155004e-12,2.7419335525082086e-12,0.040616204582854726,0.1
11.8,99.5,4.4,27.82,50.68,0.0,4.09,0.0,2.7190275563924365e-11,5.65264303882729e-12,2.404768090075723e-12,0.038409964228629315,0.1
12.6,99.7,5.14,30.02,50.19,0.0,3.23,0.0,2.5566379216145065e-11,5.557469527139209e-12,2.6361321799595916e-12,0.044779812176182834,0.1
