Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.42,35.7,9.1,-1.7,15.39,0.0,166.94,0.0,9.834144755384928e-11,8.914924716281734e-12
1.47,83.3,9.3,-4.3,40.7,0.0,105.56,0.0,1.5297558508376556e-10,1.785195397239394e-11
2.11,94.2,10.4,-3.8,48.7,0.0,77.92,0.0,1.3629151060931035e-10,1.7991777555242174e-11
2.84,97.6,9.1,-0.8,53.6,0.0,57.77,0.0,1.0870030186314605e-10,1.638464977358023e-11
3.9,101.0,9.1,5.9,57.61,0.0,47.14,0.0,8.476715265868297e-11,1.4078826478264266e-11
4.74,105.0,16.7,10.47,63.1,0.0,41.35,0.0,7.537888538357332e-11,1.4360794845604431e-11
5.69,106.0,9.1,13.24,67.96,0.0,32.17,0.0,6.399542372934165e-11,1.415109002285241e-11
6.32,108.0,11.5,14.88,69.85,0.0,27.41,0.0,5.981083803496592e-11,1.3644735345956482e-11
7.37,110.0,23.0,17.96,72.36,0.0,20.81,0.0,5.320682416352947e-11,1.293034175615699e-11
8.21,112.0,19.7,20.83,72.55,0.0,16.56,0.0,4.9515633877300416e-11,1.210117309207209e-11
9.16,113.0,9.1,23.19,73.73,0.0,13.22,0.0,4.517632178330212e-11,1.1519033514867971e-11
10.85,114.0,9.1,26.37,73.37,0.0,7.53,0.0,3.881766603900992e-11,1.0116474427926897e-11
12.21,114.0,9.1,28.32,69.96,0.0,4.36,0.0,3.44939948012496e-11,8.624091117951645e-12
15.16,114.0,11.2,33.04,63.57,0.0,1.75,0.0,2.7781772857734673e-11,6.653033535068521e-12
