Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.85,10.3,0.2,0.0,9.59,0.0,16.75,0.0,4.044873822022378e-12,1.753225375394176e-12
1.14,12.9,2.7,0.0,11.99,0.0,14.92,0.0,4.7306849266869765e-12,2.0433980473800024e-12
1.42,16.4,1.8,0.94,13.83,0.0,13.07,0.0,6.138309843857448e-12,2.202772517939193e-12
1.71,18.6,2.1,3.44,15.27,0.0,11.58,0.0,6.556608205583104e-12,2.4338072424308952e-12
1.99,19.8,2.0,5.14,16.76,0.0,10.8,0.0,6.3844980544527e-12,2.717505803360971e-12
2.28,26.1,0.6,5.82,17.77,0.0,9.24,0.0,9.682680965412041e-12,2.7256496041518808e-12
2.55,27.7,2.7,6.87,18.7,0.0,8.42,0.0,9.751441338798978e-12,2.8219168275430003e-12
2.84,29.7,2.6,7.58,19.36,0.0,7.37,0.0,1.0065700717891539e-11,2.7941588235030252e-12
3.13,33.0,3.4,8.21,19.89,0.0,6.93,0.0,1.127542698647575e-11,2.7459666505025538e-12
3.41,34.8,1.2,8.78,20.19,0.0,5.88,0.0,1.1509423317635425e-11,2.6696651189920974e-12
3.7,35.0,0.9,8.64,20.15,0.0,5.69,0.0,1.0729607108652778e-11,2.4319933305751613e-12
3.98,39.0,10.2,7.98,20.39,0.0,5.87,0.0,1.2384988191029687e-11,2.2111922593346117e-12
4.26,35.9,5.4,7.97,21.28,0.0,6.08,0.0,9.80457454622982e-12,2.2057086183311184e-12
4.55,40.0,4.1,10.01,22.72,0.0,6.5,0.0,1.1396146953707011e-11,2.5520196726314714e-12
4.84,38.7,1.4,11.42,24.6,0.0,5.76,0.0,1.002827011318355e-11,2.8992681110483947e-12
5.12,41.8,0.5,12.67,25.34,0.0,4.6,0.0,1.1059412512871998e-11,3.0482738353132556e-12
5.41,42.9,0.4,13.13,25.74,0.0,4.3,0.0,1.1024699839253376e-11,3.017163721848194e-12
5.68,44.4,1.7,13.93,26.48,0.0,4.03,0.0,1.1247786375099288e-11,3.107497106623202e-12
5.97,46.1,1.3,14.5,27.15,0.0,3.42,0.0,1.1536577143746747e-11,3.1420427333268166e-12
6.26,49.0,0.9,15.98,27.39,0.0,2.76,0.0,1.2429889896477628e-11,3.263901939576476e-12
6.54,51.9,0.6,17.58,27.31,0.0,2.14,0.0,1.3347699546223725e-11,3.3794016419604814e-12
6.83,53.1,2.1,18.38,26.75,0.0,1.67,0.0,1.3378819463785258e-11,3.3005920710094644e-12
7.1,54.0,0.5,19.29,26.25,0.0,1.55,0.0,1.3310017478203687e-11,3.271066198216261e-12
7.39,55.9,1.1,19.86,26.04,0.0,1.54,0.0,1.3703409381679641e-11,3.2164861628228597e-12
7.68,58.8,3.6,21.01,25.86,0.0,1.4,0.0,1.4589583265990618e-11,3.2736508350006172e-12
7.96,57.3,4.6,21.81,25.77,0.0,1.25,0.0,1.3367359591625858e-11,3.288505668434709e-12
8.25,54.0,9.0,22.49,25.57,0.0,1.12,0.0,1.1454681708514688e-11,3.271075862460776e-12
8.52,63.8,12.0,22.38,25.47,0.0,1.02,0.0,1.548286109510157e-11,3.138933806855285e-12
8.81,60.5,6.2,22.6,25.41,0.0,0.92,0.0,1.3464316000088158e-11,3.066395384193235e-12
9.1,61.0,5.7,22.95,25.38,0.0,0.83,0.0,1.3251582129607434e-11,3.0227378786839313e-12
9.38,66.0,1.3,23.63,25.51,0.0,0.75,0.0,1.5049930263398335e-11,3.0533701715550065e-12
9.67,65.2,3.4,24.89,25.74,0.0,0.67,0.0,1.4246827707128635e-11,3.1864397661906817e-12
9.96,67.1,4.7,25.8,24.84,0.0,0.0,0.0,1.4649916749910385e-11,3.169692991462817e-12
10.23,67.5,9.3,27.17,23.97,0.0,0.0,0.0,1.4433822717382416e-11,3.2486653446285273e-12
