Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs
0.25,4.25,2.0,1.87,2.88,0.0,8.69,0.0,2.3414630369964115e-12,9.909136388154613e-13,2.203729917173093e-12,0.4087477476736487
0.41,6.84,2.0,3.32,3.93,0.0,6.61,0.0,3.698092769472506e-12,1.4816566261808484e-12,2.162627350568717e-12,0.2539733812299718
0.57,9.56,2.0,4.8,4.8,0.0,6.95,0.0,5.196254142367152e-12,1.9649356537023245e-12,2.1741649131243312e-12,0.1817131723444568
0.74,12.3,2.0,6.44,6.36,0.0,6.78,0.0,6.625641875379914e-12,2.702039147887766e-12,2.1546802846763948e-12,0.14123397785471603
0.9,15.1,2.0,8.03,7.43,0.0,5.71,0.0,8.210334287820865e-12,3.3157979292241982e-12,2.1749229901512224e-12,0.11504489586841107
1.07,17.5,2.0,9.79,8.56,0.0,5.63,0.0,9.275594930377401e-12,4.012536047059054e-12,2.120135984086263e-12,0.09926731014931468
1.24,19.7,2.0,11.57,9.52,0.0,4.46,0.0,1.0142855118070514e-11,4.682928687524508e-12,2.059462968136145e-12,0.0881816206910156
1.4,21.8,2.0,13.11,10.08,0.0,3.87,0.0,1.1001056784005681e-11,5.1545821473266145e-12,2.0185425291753543e-12,0.07968706089967922
1.57,24.4,2.0,14.44,10.55,0.0,3.42,0.0,1.2289365338030841e-11,5.4528660829012976e-12,2.014650055414892e-12,0.07119581670545111
1.72,27.3,2.0,15.54,10.95,0.0,3.02,0.0,1.4042560447759357e-11,5.6797078220153985e-12,2.0575180143237155e-12,0.06363289112135558
1.89,30.3,2.0,16.53,11.36,0.0,2.62,0.0,1.5742471208041123e-11,5.791661827613694e-12,2.0782140208635147e-12,0.05733260487171641
2.06,32.6,2.0,17.3,11.57,0.0,2.28,0.0,1.671927474853567e-11,5.761388987760046e-12,2.051444754421554e-12,0.05328766649119653
2.46,33.3,2.0,18.07,12.23,0.0,1.69,0.0,1.4608405474976512e-11,5.286835414252285e-12,1.7547634204175992e-12,0.05216750533372394
2.79,34.6,2.0,18.07,12.94,0.0,1.34,0.0,1.3905847078025196e-11,4.765301108009355e-12,1.6076123789624504e-12,0.05020745455528922
3.13,34.2,2.0,17.41,12.45,0.0,0.0,0.0,1.2110367695556928e-11,3.9408015943939325e-12,1.4164172743341436e-12,0.05079467624599436
