Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.87,37.8,9.0,0.0,101.87,0.0,753.73,0.0,5.3224771042150144e-11,1.932826266387849e-10
1.74,80.1,9.0,0.0,114.98,0.0,473.06,0.0,1.1949926627689096e-10,1.2311609144053045e-10
2.61,121.0,8.5,0.0,122.0,0.0,368.22,0.0,1.817940597100026e-10,9.240566848998287e-11
3.5,142.0,7.3,8.66,132.74,0.0,317.36,0.0,1.8670592457932038e-10,8.226902859390389e-11
4.37,153.0,6.2,14.44,143.94,0.0,289.49,0.0,1.7360046315488268e-10,7.83710566022936e-11
5.24,160.0,5.3,18.43,159.88,0.0,271.83,0.0,1.5832814851715084e-10,8.114609590874741e-11
6.11,162.0,5.3,22.09,181.37,0.0,236.6,0.0,1.3919969179332497e-10,8.98269048972655e-11
6.98,167.0,4.5,25.11,193.57,0.0,173.2,0.0,1.294872401399806e-10,8.991158887665e-11
7.85,169.0,5.3,26.73,197.84,0.0,132.05,0.0,1.1791069719816545e-10,8.374349430448039e-11
8.72,171.0,4.9,28.23,200.86,0.0,101.24,0.0,1.0867388442400568e-10,7.793220403104514e-11
9.6,171.0,4.9,29.63,201.7,0.0,66.99,0.0,9.871211168513851e-11,7.163263896591793e-11
10.47,170.0,5.7,30.28,195.05,0.0,43.34,0.0,8.94541752434159e-11,6.171759162326265e-11
11.35,169.0,7.0,30.28,189.75,0.0,31.05,0.0,8.155057030886332e-11,5.4020820239645396e-11
