Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs
1.74,145.0,6.8,17.89,202.16,0.0,1038.77,0.0,3.9159416420355213e-10,3.865539124125718e-10,3.672883195288489e-11,0.04073382726816706
3.5,174.0,6.8,17.67,210.45,0.0,328.04,0.0,2.8033666795097714e-10,2.0793608590936852e-10,2.1911371747892467e-11,0.03394485605680589
5.24,194.0,6.4,27.48,211.51,0.0,137.0,0.0,2.3276711709341754e-10,1.4301107802295573e-10,1.535783040616363e-11,0.02865448128021455
6.98,190.0,5.5,42.57,187.95,0.0,48.78,0.0,1.6761050482460106e-10,9.042055651420346e-11,9.703766068792693e-12,0.025143364741767208
8.81,186.0,5.8,48.28,172.49,0.0,34.3,0.0,1.2726220240121574e-10,6.3297674119961e-11,7.936782515344638e-12,0.02708503220471893
10.9,188.0,7.0,45.48,161.01,0.0,15.26,0.0,1.0508449837097383e-10,4.4688682758965623e-11,7.825441368051243e-12,0.032341078439603856
13.12,187.0,8.5,43.32,148.11,0.0,5.31,0.0,8.637714252334324e-11,3.1728287565699505e-11,7.852467502122113e-12,0.039481316536659254
15.33,179.0,12.6,43.11,134.96,0.0,1.91,0.0,6.773503537483507e-11,2.318134478595652e-11,9.535882075116445e-12,0.06114089912827902
17.3,176.0,11.7,43.21,126.37,0.0,0.93,0.0,5.802680883573081e-11,1.8455193794812984e-11,7.714927992932393e-12,0.057741425434864165
19.05,167.0,13.5,44.51,119.3,0.0,0.0,0.0,4.744466856572518e-11,1.547643948812315e-11,7.670694917811855e-12,0.0702152755172922
