Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs,err_log_g_bar
1.45,216.0,10.0,0.0,240.9,0.0,1579.45,0.0,1.042771024499268e-09,6.485225130558918e-10,9.655287263882111e-11,0.04021245202807887,0.1
2.88,215.0,7.0,0.0,232.56,0.0,725.11,0.0,5.201563287445171e-10,3.0429653628805364e-10,3.387064466243367e-11,0.02827964068207221,0.1
4.33,215.0,5.0,0.0,235.54,0.0,586.66,0.0,3.4597002928041783e-10,2.0761604051166018e-10,1.6091629268856643e-11,0.020199743344337294,0.1
5.78,214.0,4.0,0.0,243.76,0.0,431.16,0.0,2.5677288644122476e-10,1.6657756263454254e-10,9.598986409017748e-12,0.016235307734701,0.1
7.22,215.0,4.0,0.0,245.32,0.0,356.04,0.0,2.0748618099504285e-10,1.3506666407779778e-10,7.72041603702485e-12,0.01615979467546983,0.1
8.66,221.0,3.0,0.0,253.0,0.0,328.2,0.0,1.827747128186575e-10,1.1976849975235407e-10,4.962209397791607e-12,0.011790800413662945,0.1
11.55,233.0,3.0,11.24,281.58,0.0,253.05,0.0,1.523278501062007e-10,1.1158939077286613e-10,3.922605582133924e-12,0.011183548890212494,0.1
14.48,237.0,3.0,27.45,299.81,0.0,153.39,0.0,1.257122458133891e-10,1.0227371368901328e-10,3.1825885016047878e-12,0.010994797010208907,0.1
17.28,242.0,3.0,40.74,295.15,0.0,98.5,0.0,1.098339110747932e-10,8.480134574386143e-11,2.7231548200361955e-12,0.010767631782725252,0.1
20.2,241.0,3.0,51.22,293.48,0.0,65.35,0.0,9.318203066346128e-11,7.33005614075209e-11,2.319884580833061e-12,0.010812310752778054,0.1
23.12,240.0,3.0,57.81,284.89,0.0,32.44,0.0,8.073913801977545e-11,6.156801117538969e-11,2.0184784504943862e-12,0.010857362047581295,0.1
26.04,234.0,3.0,56.95,267.33,0.0,13.89,0.0,6.814597188981313e-11,4.85071069499778e-11,1.7473326125593107e-12,0.011135755946237225,0.1
28.84,226.0,3.0,55.22,249.73,0.0,7.22,0.0,5.739460576075554e-11,3.8466594798981007e-11,1.5237505954182886e-12,0.011529941997431464,0.1
31.76,213.0,3.0,52.84,235.27,0.0,4.16,0.0,4.6294368893644456e-11,3.1089493730817526e-11,1.3040667293984354e-12,0.012233647377556387,0.1
34.68,207.0,3.0,50.68,223.76,0.0,1.44,0.0,4.0041566261682384e-11,2.5794221343513448e-11,1.160625109034272e-12,0.012588245852268169,0.1
37.48,208.0,4.0,48.19,210.28,0.0,0.0,0.0,3.7409038207270036e-11,2.1124827239828018e-11,1.4388091618180784e-12,0.01670363391935584,0.1
40.4,209.0,4.0,45.17,200.01,0.0,0.0,0.0,3.5039722813059797e-11,1.7681763159320605e-11,1.3412334091123368e-12,0.016623712225961793,0.1
43.32,207.0,4.0,42.57,191.48,0.0,0.0,0.0,3.205543670256568e-11,1.5070147444756653e-11,1.2388574571039874e-12,0.01678432780302422,0.1
46.24,213.0,6.0,40.95,184.17,0.0,0.0,0.0,3.179734334044437e-11,1.3061375674563958e-11,1.7913996248137676e-12,0.02446729475511278,0.1
