Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs,err_log_g_bar
0.78,19.8,10.7,2.9,21.08,0.0,94.32,0.0,1.6288655292770353e-11,9.580790602124405e-12,1.760491026592351e-11,0.46938898549139324,0.1
2.35,55.4,10.7,8.06,40.8,0.0,43.18,0.0,4.2325404959893425e-11,1.2374034502558039e-11,1.634952465959782e-11,0.1677599623236388,0.1
3.91,88.5,10.7,12.62,45.89,0.0,25.65,0.0,6.491711916570994e-11,1.0047331256863464e-11,1.5697472883007826e-11,0.10501584082180325,0.1
5.48,105.0,10.7,16.73,51.07,0.0,17.82,0.0,6.519998480257983e-11,9.367303106377603e-12,1.3288377855001985e-11,0.08851335154980561,0.1
7.03,106.0,10.7,20.63,52.93,0.0,11.38,0.0,5.179714950497212e-11,8.41952315915262e-12,1.0457160371758522e-11,0.0876783199314112,0.1
8.6,103.0,10.7,24.32,52.95,0.0,7.71,0.0,3.997840405487234e-11,7.511499529436553e-12,8.306192687128817e-12,0.09023205740514163,0.1
13.27,109.0,15.8,34.07,49.67,0.0,3.15,0.0,2.9015598149223724e-11,5.847370431824808e-12,8.4118614817933e-12,0.12590555622149316,0.1
14.85,113.0,14.7,36.74,48.73,0.0,2.09,0.0,2.78663372077473e-11,5.53689662295854e-12,7.250179769095316e-12,0.11299343157482834,0.1
25.8,105.0,10.4,46.59,38.25,0.0,0.16,0.0,1.384867894256347e-11,3.64544880528877e-12,2.743357352431621e-12,0.08603166879607274,0.1
32.01,103.0,10.0,43.71,33.76,0.0,0.04,0.0,1.0740839577379011e-11,2.511257598393156e-12,2.085599917937672e-12,0.08432902561228191,0.1
36.54,103.0,10.0,39.61,31.2,0.0,0.0,0.0,9.409257659329561e-12,1.8232018523890168e-12,1.827040322199915e-12,0.08432902561228191,0.1
