Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar
0.16,160.0,36.0,-1.22,8.07,119.49,516.57,16013.38,5.1852468639366896e-09,2.0306674662261155e-09
0.32,177.0,30.9,-1.2,15.74,184.15,504.88,8275.13,3.172824199224073e-09,2.416435382065603e-09
0.49,180.0,25.3,-1.08,23.42,201.67,492.74,4561.05,2.142882632545265e-09,1.900990471496651e-09
0.65,180.0,32.0,-0.96,30.3,207.64,481.58,2982.73,1.6154038306879685e-09,1.527562863023568e-09
1.3,182.0,4.72,-0.33,55.43,203.18,438.8,756.43,8.257505630819178e-10,7.586816941051576e-10
1.46,183.0,10.8,0.44,61.06,200.04,428.86,576.9,7.433592989142799e-10,6.631512660688926e-10
1.62,184.0,7.43,0.74,66.51,196.81,419.15,433.08,6.772828619808664e-10,5.866662903797033e-10
3.72,206.0,8.42,4.94,126.3,147.67,305.74,0.87,3.696927686794646e-10,2.026771940709547e-10
3.89,207.0,4.54,5.38,130.52,144.55,297.38,0.48,3.56977253973045e-10,1.930552330023815e-10
4.05,209.0,5.36,5.86,134.47,141.56,291.65,0.28,3.495320497895348e-10,1.8486760251806423e-10
4.22,210.0,2.43,6.37,138.94,138.76,286.76,0.16,3.386691153726422e-10,1.7794162989845614e-10
4.26,210.0,4.6,6.53,140.05,138.12,285.57,0.13,3.3548912367900236e-10,1.76520806915398e-10
4.38,211.0,2.8,6.92,143.43,136.21,282.2,0.09,3.294126364573707e-10,1.7255435894323828e-10
4.54,213.0,2.18,7.46,148.24,133.79,278.12,0.05,3.2385664230443785e-10,1.682709350319885e-10
4.71,214.0,7.61,7.98,153.86,131.35,269.69,0.03,3.1510558038859427e-10,1.6497772483215927e-10
4.86,215.0,4.7,8.49,158.53,129.31,255.82,0.02,3.0824078740415826e-10,1.6232379178866167e-10
5.02,215.0,2.34,9.0,162.82,127.24,236.68,0.01,2.984163798374919e-10,1.5925775947359684e-10
5.18,216.0,2.95,9.51,166.08,125.27,217.59,0.01,2.9189536400076037e-10,1.5557319896131502e-10
5.35,217.0,4.48,10.02,168.84,123.26,198.81,0.0,2.852430952989659e-10,1.5137160642204135e-10
5.51,217.0,3.99,10.53,170.67,121.46,180.68,0.0,2.7696017420135525e-10,1.470512570544016e-10
5.68,218.0,5.14,11.06,171.8,119.61,163.83,0.0,2.7115280805647804e-10,1.4203816458477676e-10
5.84,218.0,2.51,11.59,172.47,117.97,151.85,0.0,2.6372396400013616e-10,1.3733980453154735e-10
6.0,219.0,3.95,12.13,172.94,116.4,142.07,0.0,2.59051692542987e-10,1.3279379787541062e-10
6.15,219.0,7.84,12.55,173.44,114.95,134.81,0.0,2.527333585785239e-10,1.2882846508391085e-10
6.48,219.0,7.74,13.72,174.41,111.99,115.63,0.0,2.3986267828054357e-10,1.2091354792588553e-10
6.64,219.0,6.69,14.25,174.58,110.63,107.0,0.0,2.3408285470751843e-10,1.17182716203908e-10
6.81,220.0,6.26,14.68,174.53,109.24,98.11,0.0,2.3032851341275313e-10,1.1325703748839883e-10
7.1,220.0,2.52,15.64,174.07,106.99,82.68,0.0,2.2092072906209136e-10,1.06843445425205e-10
7.13,220.0,11.4,15.74,173.95,106.76,81.11,0.0,2.199911888276085e-10,1.0615682621109123e-10
8.52,220.0,2.93,20.1,162.17,97.67,42.84,0.0,1.841006075517428e-10,7.695391960882974e-11
10.66,225.0,1.79,25.95,149.89,87.32,25.13,0.0,1.5390661496646042e-10,5.242479217725622e-11
11.99,228.0,5.71,28.72,144.35,82.33,18.64,0.0,1.4050764854820938e-10,4.32141562516691e-11
12.1,228.0,9.96,29.04,143.9,81.96,18.15,0.0,1.392303062886802e-10,4.258313204102985e-11
12.33,228.0,8.24,29.36,143.03,81.19,17.16,0.0,1.366331472905945e-10,4.1278726586543006e-11
12.78,229.0,1.74,30.21,141.37,79.75,15.35,0.0,1.3298099119312594e-10,3.8943684741888615e-11
14.93,228.0,1.64,33.5,133.3,73.78,8.44,0.0,1.128390292091782e-10,2.9992157432854983e-11
17.08,226.0,1.34,35.21,125.19,68.98,4.75,0.0,9.691220316980034e-11,2.354077111980701e-11
19.23,226.0,1.39,35.84,117.76,65.01,2.4,0.0,8.607698544670774e-11,1.8835659445679138e-11
21.27,227.0,1.11,35.52,111.0,61.81,1.83,0.0,7.851157312288248e-11,1.538342265855453e-11
23.42,227.0,1.37,34.46,106.04,58.91,1.1,0.0,7.130406320767337e-11,1.2784617015335666e-11
25.57,224.0,2.79,32.87,101.01,56.38,0.42,0.0,6.359379806533226e-11,1.0655205795499538e-11
27.72,218.0,9.41,31.59,96.03,54.15,0.24,0.0,5.5560892848513534e-11,8.956995222324023e-12
29.87,215.0,8.18,30.53,91.96,52.16,0.13,0.0,5.015233434162066e-11,7.66510768972482e-12
32.02,219.0,5.06,29.67,88.37,50.38,0.07,0.0,4.8541853693251785e-11,6.641106162446121e-12
34.05,211.0,7.05,29.04,85.42,48.86,0.0,0.0,4.23737840729305e-11,5.865495973641965e-12
