Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs
0.34,38.8,3.69,0.91,27.87,0.0,246.74,0.0,1.434940815964127e-10,3.709706232247205e-11,2.729346191189499e-11,0.0826054968156185
0.68,50.1,3.69,7.1,39.52,0.0,115.82,0.0,1.1962335919990562e-10,3.961972781444432e-11,1.7621165486932204e-11,0.06397391769353289
1.02,60.2,3.69,10.23,44.52,0.0,75.75,0.0,1.1514425272537451e-10,3.4811945952453865e-11,1.4115690782612356e-11,0.05324075210043186
1.36,68.2,3.69,12.18,46.26,0.0,41.22,0.0,1.1083560488702615e-10,2.903228774236757e-11,1.1993647566953856e-11,0.04699550258718472
1.69,72.8,3.69,14.42,45.8,0.0,27.51,0.0,1.0163083853315913e-10,2.409982315766407e-11,1.0302686653498823e-11,0.04402600654458789
2.03,75.3,3.69,15.29,45.05,0.0,15.53,0.0,9.051975489759479e-11,1.9932155197357135e-11,8.871657252911682e-12,0.042564319740318705
2.37,76.6,3.69,18.41,43.11,0.0,9.72,0.0,8.023403768185749e-11,1.7341097525697356e-11,7.73012007953144e-12,0.041841948778668384
2.7,77.6,3.69,20.65,41.2,0.0,6.89,0.0,7.227850035967453e-11,1.5305390391660628e-11,6.873908925958738e-12,0.04130274840780926
3.05,78.5,3.69,21.24,39.62,0.0,4.81,0.0,6.547702353953662e-11,1.3133229383698799e-11,6.155674314927136e-12,0.04082921371268787
3.38,78.2,3.69,22.11,38.18,0.0,3.48,0.0,5.863355960099889e-11,1.1675514319091488e-11,5.533448463623681e-12,0.040985847524884884
3.72,78.8,3.69,23.77,36.93,0.0,2.42,0.0,5.4095227296376064e-11,1.0862929705394251e-11,5.066278901614916e-12,0.04067377254373094
4.06,79.2,3.69,25.04,35.68,0.0,1.42,0.0,5.006956109698867e-11,1.0085790469028858e-11,4.665572738583035e-12,0.040468349450075734
4.39,79.2,3.69,24.74,34.2,0.0,0.59,0.0,4.630578998947016e-11,8.835645891777779e-12,4.314857703564264e-12,0.04046834945007573
4.74,79.2,3.69,24.74,32.41,0.0,0.26,0.0,4.288658608729409e-11,7.77562533835259e-12,3.996250067225131e-12,0.040468349450075734
5.08,78.8,3.69,23.87,31.05,0.0,0.18,0.0,3.961304046112578e-11,6.710123789601168e-12,3.709952266536907e-12,0.04067377254373094
5.41,78.5,3.69,22.31,29.85,0.0,0.11,0.0,3.6914033603620454e-11,5.650381658391974e-12,3.4703894012066107e-12,0.04082921371268788
5.75,80.1,3.69,22.6,28.79,0.0,0.07,0.0,3.6161517099441783e-11,5.2145099736974544e-12,3.3317352833193555e-12,0.04001364889445691
6.09,80.1,3.69,23.18,27.84,0.0,0.04,0.0,3.414264750768313e-11,4.921542152018576e-12,3.145727073741592e-12,0.04001364889445691
6.42,80.1,3.69,22.99,26.98,0.0,0.02,0.0,3.2387651607755496e-11,4.505290480566155e-12,2.984030822287585e-12,0.0400136488944569
6.77,80.1,3.69,22.99,26.18,0.0,0.01,0.0,3.0713253075596786e-11,4.17058280310451e-12,2.829760395729142e-12,0.04001364889445691
7.11,79.8,3.69,22.8,25.47,0.0,0.01,0.0,2.9025896131701295e-11,3.847914676420922e-12,2.684349792631022e-12,0.04016407614593983
7.44,79.8,3.69,23.87,24.82,0.0,0.01,0.0,2.7738457190375835e-11,3.8235668002018355e-12,2.565285890538517e-12,0.04016407614593983
7.78,79.5,3.69,24.06,24.22,0.0,0.0,0.0,2.632716620484886e-11,3.6331210272444083e-12,2.4439558061859697e-12,0.040315638697433945
8.12,79.5,3.69,22.89,23.66,0.0,0.0,0.0,2.5224797176567015e-11,3.208251364725078e-12,2.3416226812964098e-12,0.040315638697433945
8.46,78.8,3.69,23.09,23.15,0.0,0.0,0.0,2.3786553846633448e-11,3.068816300796291e-12,2.22772547446897e-12,0.04067377254373093
8.8,77.9,3.69,23.38,22.65,0.0,0.0,0.0,2.2348156194305428e-11,2.9577106608510327e-12,2.117193744723672e-12,0.041143687759255435
9.13,77.2,3.69,22.8,22.21,0.0,0.0,0.0,2.1155012095813552e-11,2.720700058889831e-12,2.0223314671904666e-12,0.041516752285569926
9.47,77.6,3.69,22.21,21.79,0.0,0.0,0.0,2.0607386586179645e-11,2.5005201081107927e-12,1.9598261985310023e-12,0.04130274840780926
9.77,76.6,3.69,22.21,21.43,0.0,0.0,0.0,1.946311865977505e-11,2.3979330356363817e-12,1.8751673069078314e-12,0.041841948778668384
10.15,77.6,3.69,22.5,21.0,0.0,0.0,0.0,1.9226793199125245e-11,2.3204299004716682e-12,1.828527497545674e-12,0.04130274840780925
