Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul,g_obs,g_bar,err_g_obs,err_log_g_obs,err_log_g_bar
0.12,6.48,2.6,-0.66,2.2,0.0,2.83,0.0,1.1340134891429541e-11,5.359168685831235e-13,9.100108246208891e-12,0.34850791757668353,0.1
0.19,8.6,2.65,0.47,2.24,0.0,3.38,0.0,1.2615159804498602e-11,4.655976435686837e-13,7.774458949284023e-12,0.26764659931246915,0.1
0.26,10.2,3.03,1.82,2.72,0.0,2.43,0.0,1.296810297413397e-11,8.739633872879446e-13,7.704578825809006e-12,0.2580220157189908,0.1
0.33,11.7,3.55,3.08,2.9,0.0,2.23,0.0,1.3443341727354041e-11,1.3445698657746739e-12,8.157925321727667e-12,0.2635462240609477,0.1
0.4,12.7,3.75,4.2,2.92,0.0,1.76,0.0,1.3067632291942947e-11,1.7745859235965327e-12,7.717105684218276e-12,0.2564731192342038,0.1
0.47,14.1,3.43,5.32,3.03,0.0,2.11,0.0,1.3708496396532624e-11,2.268052490803723e-12,6.669523778738567e-12,0.21129504580541186,0.1
0.55,16.0,3.33,6.65,3.44,0.0,2.0,0.0,1.508435451327037e-11,2.9543710009656916e-12,6.278862566148791e-12,0.18077507809222854,0.1
0.62,18.1,2.66,7.97,3.69,0.0,1.59,0.0,1.7124382309418338e-11,3.676138784591332e-12,5.033243861110804e-12,0.12764898584117676,0.1
0.69,21.2,3.78,9.25,3.81,0.0,1.38,0.0,2.110921513159154e-11,4.359578494532417e-12,7.527625773341135e-12,0.15487105109380114,0.1
0.76,21.6,3.33,10.36,3.95,0.0,1.39,0.0,1.9894973493736033e-11,4.909390451520274e-12,6.134283493901944e-12,0.13390746525350264,0.1
0.83,23.3,3.09,11.58,4.15,0.0,1.29,0.0,2.1197429743694198e-11,5.5720963450472496e-12,5.622322567211594e-12,0.11519055356918867,0.1
0.9,24.5,3.26,12.39,4.32,0.0,1.17,0.0,2.161419743109721e-11,5.863768823875705e-12,5.752023153091992e-12,0.11557551110241639,0.1
0.97,24.4,3.29,13.1,4.46,0.0,1.08,0.0,1.9891034619287036e-11,6.065796666105134e-12,5.364057696512651e-12,0.11711711848046709,0.1
1.04,25.3,2.78,13.71,4.57,0.0,0.99,0.0,1.9946061689526654e-11,6.182613829158642e-12,4.383403280386095e-12,0.09544179127992411,0.1
1.11,25.4,2.78,14.22,4.69,0.0,0.91,0.0,1.8836226727124967e-11,6.22482024906292e-12,4.12320553554389e-12,0.09506603619614487,0.1
1.19,25.9,2.73,14.63,4.81,0.0,0.83,0.0,1.826846349158283e-11,6.1439987367441905e-12,3.851189600928272e-12,0.0915539718606855,0.1
1.26,26.7,2.67,14.83,4.88,0.0,0.76,0.0,1.8335866254126124e-11,5.9629335836920276e-12,3.667173250825225e-12,0.08685889638065036,0.1
1.33,27.1,3.16,15.03,4.95,0.0,0.7,0.0,1.789519337097624e-11,5.802996658492856e-12,4.173343989098518e-12,0.10128196035529709,0.1
1.4,28.6,3.34,15.13,5.03,0.0,0.64,0.0,1.893448448582882e-11,5.5919033215044506e-12,4.422460012774003e-12,0.10143661325572452,0.1
1.48,28.9,3.21,15.24,5.09,0.0,0.58,0.0,1.8288724802485483e-11,5.3694380876826065e-12,4.062754783112692e-12,0.09647649044355974,0.1
1.55,30.4,4.14,15.34,5.13,0.0,0.54,0.0,1.932257153941827e-11,5.195158421500597e-12,5.262858300867871e-12,0.11828810230785937,0.1
