Galaxy,Genuine_Failure,Min_Density_Msun_pc3,Rel_Violation,Max_LogLog_Gradient,Gradient_At_Min
NGC0100,False,,,,
UGC11820,False,,,,
UGC02487,False,,,,
UGC07399,False,,,,
NGC4183,False,,,,
NGC6503,False,,,,
UGC07577,False,,,,
NGC6946,True,-0.0036194036676669436,0.014808590720551516,2.596890893412138,1.591956675227716
NGC5585,False,,,,
UGC02916,False,,,,
UGC07866,False,,,,
UGC07559,False,,,,
UGC06628,False,,,,
UGC05750,False,,,,
F583-4,False,,,,
UGC03580,True,-1.2856628105971106e-06,1.3774951882864634e-06,2.1006672742149113,1.833242278566701
DDO154,False,,,,
NGC1003,True,-0.00041508923964295337,0.0163000178748996,2.5603893737379373,1.4034816803401817
NGC0024,False,,,,
F568-1,False,,,,
UGC09992,False,,,,
F565-V2,False,,,,
NGC6015,True,-0.000843327972626215,0.005815784520527805,2.831314060585311,2.361863805526457
NGC1090,False,,,,
NGC3992,False,,,,
UGC11914,False,,,,
UGC07125,True,-0.00045296964904273287,0.05638412014060332,2.4658454275942434,1.8002303560359423
UGC06818,False,,,,
ESO116-G012,False,,,,
NGC3726,False,,,,
UGC07608,False,,,,
NGC2998,False,,,,
UGC12732,False,,,,
F567-2,False,,,,
F571-V1,False,,,,
D564-8,False,,,,
NGC3972,False,,,,
NGC3741,False,,,,
UGC04325,False,,,,
NGC2955,False,,,,
NGC4100,True,-0.0014454490725570274,0.05045114870398761,2.2937061224262876,1.0124325225208302
ESO444-G084,False,,,,
UGC07151,False,,,,
CamB,False,,,,
UGC07323,False,,,,
DDO064,False,,,,
NGC3198,True,-1.5573922028985024e-05,0.00013821374030258157,1.9213857046070617,1.7535234317043542
NGC5371,True,-0.00015806586109144255,0.004305145753585867,2.3311508647900476,2.062909344503819
UGC11455,True,-0.0006172165171997305,0.006351303499042425,2.2716053634419286,1.870458074445251
UGC02259,False,,,,
D631-7,False,,,,
UGC06399,False,,,,
UGC12632,False,,,,
ESO079-G014,False,,,,
UGC04305,False,,,,
UGC05829,False,,,,
UGC05764,False,,,,
NGC4013,True,-0.004875466194664672,0.48953950470226193,2.4587840417531117,2.2046306819066817
NGC2403,True,-0.005382411481112147,0.013468093351147082,2.243176859032763,0.9174846774802707
UGC01281,False,,,,
F561-1,False,,,,
F571-8,False,,,,
UGC08490,True,-0.0019698815944081604,0.028000874440621784,2.125559306399059,1.649773541510435
UGC07524,False,,,,
KK98-251,False,,,,
NGC4010,False,,,,
NGC4157,False,,,,
NGC2915,False,,,,
NGC5907,False,,,,
PGC51017,False,,,,
UGC08550,False,,,,
DDO170,True,-4.138932924579548e-05,0.007778396806800869,2.1037134051396826,1.8319138684282996
NGC2841,True,-0.0006280264485575418,0.020796664171937675,2.341831013655814,1.9946691791812725
NGC5033,False,,,,
UGC02885,False,,,,
UGC05999,False,,,,
NGC6195,False,,,,
